Code,Short_Label,Description,Source,n,pct
E1,E1: Feature swap,Extractor assigns wrong feature at rank 0,Eval Artefact,9,30.0
E2,E2: Sign inversion,Extractor inverts contribution sign,Eval Artefact,6,20.0
E3,E3: Cross-instance hallucination,Extractor confabulates values from other instances,Eval Artefact,4,13.3
C,C: Sign error (yr/temp),LLM overrides negative contribution with trend narrative,Explanation Error,5,16.7
B2,B2: Near-contribution rank swap,LLM reorders features with similar |contribution|,Explanation Error,4,13.3
B1,B1: Pos./neg. grouping,"LLM groups by sign, losing rank information",Explanation Error,2,6.7
Total,,,,30,100.0
